,Company,Ticker,Sector
0,JAPAN TOBACCO,2914.T,F&B Producers
1,Seven & i,3382.T,Retailing
2,Shin-Etsu Chemical,4063.T,Chemicals
3,Takeda Pharmaceutical,4502.T,Pharmaceutical
4,DAIICHI SANKYO,4568.T,Pharmaceutical
5,Recruit,6098.T,Services
6,DAIKIN INDUSTRIES,6367.T,Machinery
7,Hitachi,6501.T,Appliances
8,Mitsubishi Electric,6503.T,Appliances
9,SONY,6758.T,Appliances
10,KEYENCE,6861.T,Appliances
11,Murata Manufacturing,6981.T,Appliances
12,Mitsubishi Heavy Industries,7011.T,Machinery
13,TOYOTA MOTOR,7203.T,Automobiles
14,HONDA MOTOR,7267.T,Automobiles
15,HOYA,7741.T,Healthcare
16,Nintendo,7974.T,IT
17,ITOCHU,8001.T,Wholesale
18,MITSUI,8031.T,Wholesale
19,Tokyo Electron,8035.T,Appliances
20,Mitsubishi,8058.T,Wholesale
21,Mitsubishi UFJ,8306.T,Finance&Banking
22,Sumitomo Mitsui,8316.T,Finance&Banking
23,Mizuho,8411.T,Finance&Banking
24,Tokio Marine,8766.T,Insurance
25,NTT,9432.T,IT
26,KDDI,9433.T,IT
27,NTT DATA,9613.T,IT
28,FAST RETAILING,9983.T,Retailing
29,SoftBank Group,9984.T,IT
